covidtrialID,measurementOMOPID
NCT04407000,4263457
NCT04407000,4041531
NCT04407000,42109
NCT04407000,4246512
NCT04407000,40664888
NCT04474236,4120014
NCT04470323,37311061
NCT04480112,40491929
NCT04395508,4306239
NCT04395508,3199338
NCT04395508,4308014
NCT04395508,4108582
NCT04410432,4120014
NCT04486001,4148981
NCT04486001,4313591
NCT04486001,4353936
NCT04486001,35807211
NCT04486001,4150851
NCT04488484,4285602
NCT04484025,913915
NCT04484025,4096101
NCT04484025,4313591
NCT04484025,4169506
NCT04290858,4139173
NCT04290858,415129
NCT04290858,4184654
NCT04290858,4313591
NCT04290858,4072522
NCT04444986,35936749
NCT04444986,4059235
NCT04444986,4245997
NCT04444986,4239408
NCT04444986,4126465
NCT04444986,415479
NCT04444986,4172077
NCT04444986,43532213
NCT04444986,4136121
NCT04444986,4336683
NCT04444986,4230543
NCT04444986,19136048
NCT04444986,4179018
NCT04444986,4263457
NCT04444986,4041531
NCT04444986,42109
NCT04444986,4246512
NCT04444986,40664888
NCT04481620,4096101
NCT04357938,4120014
NCT04357938,4196729
NCT04487691,42869744
NCT04487691,4018032
NCT03891420,4114518
NCT03891420,4064473
NCT03891420,45766326
NCT03891420,4189605
NCT03891420,4243468
NCT03891420,4148615
NCT03891420,4306576
NCT04380662,4205261
NCT04380662,4190431
NCT04380662,4130406
NCT04380662,4245997
NCT04477954,37311061
NCT04477954,4224504
NCT04477954,4096101
NCT04477083,45770406
NCT04476706,4120014
NCT04476706,37311061
NCT04476706,439937
NCT04476706,2212333
NCT04476706,4099154
NCT04480138,4120014
NCT04480138,4096101
NCT04480138,4313591
NCT04474249,4148981
NCT04481633,975125
NCT04481633,4098214
NCT03376854,37018292
NCT04474457,4120014
NCT04459390,37311061
NCT04375670,4120014
NCT04478071,35928795
NCT04478071,4310328
NCT04478071,45889912
NCT04478071,4224504
NCT04476719,35936749
NCT04476719,4059235
NCT04476719,4245997
NCT04476719,4239408
NCT04476719,4126465
NCT04476719,415479
NCT04476719,4172077
NCT04476719,43532213
NCT04476719,4136121
NCT04476719,4336683
NCT04476719,4230543
NCT04476719,19136048
NCT04476719,4179018
NCT04476719,4263457
NCT04476719,4041531
NCT04476719,42109
