covidtrialID,procedureOMOPID
NCT04283461,36308581
NCT04371406,423913
NCT04371406,4099958
NCT04408040,4182536
NCT04288102,19025274
NCT04288102,427417
NCT04435184,3701751
NCT04435184,19025274
NCT04352985,19006871
NCT04352985,4327582
NCT04352985,4021976
NCT04352985,4182536
NCT04352985,423232
NCT04412252,19025274
NCT04412252,19025274
NCT04412252,4052536
NCT04412252,4180938
NCT04383613,19025274
NCT04383613,21499495
NCT04383613,4165535
NCT04383613,4147975
NCT04383613,38003159
NCT04275414,37018292
NCT04275414,412012
NCT04275414,4324124
NCT04275414,42537894
NCT04275414,407708
NCT04354389,4019433
NCT04354389,4165535
NCT04354389,36308581
NCT04355247,2002711
NCT04355247,407374
NCT04402203,35918744
NCT04370262,4180938
NCT04370262,706637
NCT04370262,4083156
NCT04344951,4163951
NCT04391101,4182536
NCT04341441,40483096
NCT04341441,706637
NCT04407390,423913
NCT04439071,706637
NCT04439071,4330583
NCT04365257,36310793
NCT04365257,36308581
NCT04365257,36308581
NCT04343989,4027509
NCT04425252,4240345
NCT04425252,4013354
NCT04425252,19025274
NCT04425252,4139525
NCT04425252,40486624
NCT04425252,4052536
NCT04323332,19025274
NCT04381923,4168133
NCT04381923,4202832
NCT04381923,4013354
NCT04352608,4144375
NCT04352608,4030107
NCT04352608,4125482
NCT04352608,4314777
NCT04352608,4240345
NCT04352608,4144375
NCT04364815,4163951
NCT04299152,4163951
NCT04299152,4242843
NCT04299152,4273629
NCT04299152,221326
NCT04407689,4027509
NCT04407689,4273629
NCT04407689,4208341
NCT04407689,4144375
NCT04334512,4062354
NCT04334512,4207158
NCT04334512,320536
NCT04295551,45875989
NCT04411628,19025274
NCT04341870,19025274
NCT04373291,4208341
NCT04373291,4028623
NCT04373291,4273629
NCT04353271,706637
NCT04353271,4273629
NCT04353271,4220084
NCT04353271,4208341
NCT04348500,19025274
NCT04348500,4052536
NCT04442178,4273629
NCT04442178,4208341
NCT04353128,412012
NCT04341389,42538189
NCT04341389,4144375
NCT04341389,4021316
NCT04359095,4059029
NCT04360096,45768197
NCT04360096,3186744
NCT04360096,4300185
NCT04358549,4273629
NCT04358549,412012
NCT04421391,4307649
NCT04345289,4273629
NCT04345289,851
NCT04397562,19025274
NCT04397562,4013354
NCT04406389,4041193
NCT04406389,4215132
NCT04406389,36712821
NCT04389671,36309413
NCT04389671,4300185
NCT04389671,19006871
NCT04333420,4028623
NCT04356677,19025274
NCT04434248,321109
NCT04434248,37018292
