covidtrialID,observationOMOPID
NCT04495842,4099958
NCT04526912,4306655
NCT04516837,2720513
NCT04492228,42575912
NCT04521400,4203148
NCT04511923,4306655
NCT04551898,4035815
NCT04501783,4203148
NCT04534673,4203148
NCT04528888,46273058
NCT04497298,4219484
NCT04497298,4203148
NCT04551547,4043522
NCT04551547,3181556
NCT04551547,35921199
NCT04551547,4271678
NCT04551547,4060364
NCT04551547,4203148
NCT04540939,4021336
NCT04540939,764031
NCT04514627,4306655
NCT04531618,4478995
NCT04530656,4210989
NCT04530656,4060364
NCT04508920,1586096
NCT04507256,4203148
NCT04545541,4306655
NCT04498273,45879403
NCT04540393,45879403
NCT04495933,4203148
NCT04495933,704053
NCT04495933,4005832
NCT04495933,36310207
NCT04495933,45879403
NCT04495933,4088275
NCT04559035,407634
NCT04559035,45884068
NCT04533399,45879403
NCT04533399,4102123
NCT04533399,4088275
NCT04498546,4044711
NCT04537585,4306655
NCT04537585,45879403
NCT04542694,4203148
NCT04516811,2720513
NCT04554433,4203148
NCT04514900,45882625
NCT04493242,4059015
NCT04492904,4162308
NCT04550351,4165928
NCT04509973,4023221
NCT04499677,35921199
NCT04514016,4242424
NCT04025580,36716475
NCT04498299,403215
NCT04498299,4274663
NCT04498377,35921199
NCT04498377,4271678
NCT04535778,4203148
NCT04524754,4247398
NCT04509713,45878027
NCT04527315,38003159
NCT04534725,4053939
NCT04534725,3050013
NCT04534725,4175554
NCT04534725,4048295
NCT04534725,2720513
