covidtrialID,drugOMOPID
NCT04387656,1387104
NCT04387656,1315411
NCT04387656,40488979
NCT04387656,35807428
NCT04387656,36155489
NCT04387656,406165
NCT04387656,4191637
NCT04387656,4146535
NCT04387656,35807274
NCT04397705,35622412
NCT04397705,19025274
NCT04369274,19025274
NCT04450004,45772372
NCT04450004,19049228
NCT04450004,4003649
NCT04459702,4241216
NCT04379089,4305451
NCT04449718,4242843
NCT04399252,40482487
NCT04378686,37018292
NCT04411147,4324558
NCT04395859,724091
NCT04376944,4126018
NCT04395755,4145664
NCT04461340,45772719
NCT04367896,4138761
NCT04367870,4295112
NCT04444271,19025274
NCT04354714,21605516
NCT04354714,37018292
NCT04324190,41970933
NCT04379375,37118688
NCT04379375,4169306
NCT04435106,19025274
NCT04354818,3199629
NCT04441632,426049
NCT04341610,19025274
NCT04389658,42025697
NCT04452565,4027509
NCT04400799,1301025
NCT04372680,19025274
NCT04435522,1787101
NCT04466098,429709
NCT04466098,37499271
NCT04369820,19025274
NCT04355351,42038948
NCT04355351,41931952
NCT04426279,4215532
NCT04426279,1777087
NCT04426279,21601607
NCT04446377,4194767
NCT04446377,1548195
NCT04446377,37019469
NCT04420364,35624497
NCT04420364,190689
NCT04420364,19014878
NCT04420364,42536024
NCT04420364,19010482
NCT04420364,950637
NCT04357639,4166414
NCT04456413,1551099
NCT04458298,19025274
NCT04470427,44806815
NCT04357769,4015847
NCT04357769,4015847
NCT04388644,32759
NCT04425915,19025274
NCT04409821,44792696
NCT04344249,45774639
NCT04386369,1321341
NCT04374786,42075607
NCT04445272,40171288
NCT04376476,19025274
NCT04399603,19025274
NCT04338945,4223383
NCT04463004,724083
NCT04306705,37017208
NCT04306705,4194767
NCT04465695,412503
NCT04465695,4194767
NCT04376879,19025274
NCT04363788,32577
NCT04396210,32532
NCT04396210,2110197
NCT04396210,32532
NCT04374097,38003634
NCT04470414,4324558
NCT04445259,19071968
NCT04459325,19025274
NCT04466462,4093606
NCT04466462,4169306
NCT04351503,41973075
NCT04351503,4194767
NCT04457570,40769051
NCT04457570,45772372
NCT04457570,21600038
NCT04457570,40769051
NCT04340219,45765248
NCT04340219,722871
NCT04340219,4295112
NCT04340219,406165
NCT04340219,429709
NCT04340219,4077953
NCT04463472,4253598
NCT04463472,4242843
NCT04463472,4029802
NCT04351243,19025274
NCT04351243,44810376
NCT04351243,1777087
NCT04459533,4126018
NCT04293692,19025274
NCT04359407,4129644
NCT04359407,19025274
NCT04452617,1777087
NCT04452617,1734104
NCT04468789,4164521
NCT04449276,4002165
NCT04449276,4024511
NCT04464395,4029802
NCT04472494,35625638
NCT04472494,4140762
NCT04369456,41963258
NCT04369456,4239237
NCT04369456,41952113
NCT04403880,4208788
NCT04409925,19025274
NCT04403932,4288455
NCT04423042,43531866
NCT04407429,42628303
NCT04400448,38003414
NCT04344977,757679
NCT04465474,4194767
NCT04343742,358034
NCT04343742,1310149
NCT04361903,19025274
NCT04362943,432876
NCT04445324,45768427
NCT04457349,40171288
NCT04457349,19025274
NCT04391829,4164521
NCT04391829,4138633
NCT04467931,4021129
NCT04467931,4253605
NCT04467931,4627147
NCT04454372,36309967
NCT04469634,1367571
NCT04392089,1321341
NCT04419623,4322451
NCT04419623,32204
NCT04419623,1777087
NCT04419623,1792515
NCT04419623,1734104
NCT04347980,19025274
NCT04347980,19010309
NCT04345887,4148981
NCT04329572,429709
NCT04380818,46001406
NCT04276688,4194767
NCT04347681,416755
NCT04347681,416755
NCT04349241,45772719
NCT04310228,43012761
NCT04362813,1114375
NCT04362813,19025274
NCT04432766,415976
NCT04406064,4024511
NCT04332380,906914
NCT04441424,36309413
NCT04403100,4588466
NCT04403100,4242843
NCT04403100,21601607
NCT04403100,1551099
NCT04372017,4242843
NCT04372017,1551099
NCT04372017,3186744
NCT04372017,1777087
NCT04372017,1760616
NCT04372017,4132855
NCT04372017,35807195
NCT04312009,1500211
NCT04312009,1500211
NCT04312009,40224806
NCT04312009,40240083
NCT04312009,4241216
NCT04312009,4116363
NCT04372602,21605516
NCT04372602,37018292
NCT04421027,1151422
NCT04421027,4306137
NCT04329923,42869479
NCT04329923,36310351
NCT04329923,1777087
NCT04329923,37311065
NCT04329923,794852
NCT04329923,739323
NCT04329923,766814
NCT04329923,785788
NCT04329923,19057607
NCT04329923,700299
NCT04329923,35940183
NCT04329923,4175001
NCT04329923,74091
NCT04329923,740275
NCT04329923,734275
NCT04329923,751347
NCT04329923,718122
NCT04416048,4273629
NCT04416048,4295112
NCT04416048,4241216
NCT04405076,4042216
NCT04405076,42539752
NCT04396106,723462
NCT04346628,1551099
NCT04346628,35807403
NCT04346628,4242843
NCT04346628,40769051
NCT04346628,42900474
NCT04346628,42900474
NCT04346628,4126018
NCT04346628,429709
NCT04346628,4015847
NCT04357457,19025274
NCT04423861,429709
NCT04423861,19025274
NCT04269525,4322807
NCT04432324,19025274
NCT04432324,4306137
NCT04335123,19025274
NCT04335123,416341
NCT04335123,35625639
NCT04335123,1777087
NCT04335123,13675
NCT04397757,19025274
NCT04334460,19025274
NCT04334460,1549786
NCT04334460,4027509
NCT04334460,1521369
NCT04334460,1589505
NCT04334460,1521592
NCT04334460,1515774
NCT04334460,19049228
NCT04363463,4116857
NCT04363463,423913
NCT04341727,4027509
NCT04413864,19061088
NCT04389840,1301025
NCT04389840,1367571
NCT04361643,19026972
NCT04382651,1777087
NCT04382651,1792515
NCT04382651,21601607
NCT04382651,1550557
NCT04382651,19025274
NCT04317092,40171288
NCT04317092,19025274
NCT04362137,19025274
NCT04405908,44806815
NCT04375202,1101554
NCT04341584,19025274
NCT04345614,19025274
NCT04376034,3739372
NCT04351620,4242843
NCT04351620,4179711
NCT04351620,444094
NCT04351620,4295112
NCT04331613,19025274
NCT04425460,4107655
NCT04425460,40765301
NCT04425460,32765
NCT04382729,44092
NCT04437823,36310337
NCT04437823,765721
NCT04437823,26181
NCT04408209,19025274
NCT04341285,19025274
NCT04415073,4078504
NCT04415073,45768393
NCT04381052,4306137
NCT04381052,19049228
NCT04348695,757679
NCT04358926,19025274
NCT04426695,19025274
NCT04366791,1734104
NCT04366791,1792515
NCT04366791,4310845
NCT04366791,35625639
NCT04366791,19025274
NCT04425629,1777087
NCT04425629,40171288
NCT04425629,35807403
NCT04363437,4306811
NCT04363437,17505
NCT04363437,1703653
NCT04363437,985708
NCT04363437,714684
NCT04363437,1715472
NCT04363437,1748921
NCT04363437,1746244
NCT04363437,1702911
NCT04363437,1727223
NCT04363437,1328165
NCT04363437,1307863
NCT04363437,1754994
NCT04363437,936748
NCT04363437,1736829
NCT04363437,19010482
NCT04363437,1337107
NCT04344782,19025274
NCT04414124,38003414
NCT04344756,19025274
NCT04424901,19025274
NCT04424901,19006871
NCT04372628,4263971
NCT04381884,4027509
NCT04381884,1784444
NCT04379492,1777087
NCT04344041,19009405
NCT04344041,19025274
NCT04329611,19049024
NCT04329611,4194767
NCT04329611,1777087
NCT04351763,19025274
NCT04374032,1125315
NCT04335305,4008249
NCT04335305,4049795
NCT04335305,715764
NCT04335305,4253598
NCT04335305,4319323
NCT04335305,19052489
NCT04335305,424821
NCT04335305,45775965
NCT04335305,40171288
NCT04335305,723814
NCT04335305,45772372
NCT04335305,21601607
NCT04335305,45768802
NCT04335305,4086296
NCT04335305,4048413
NCT04331366,19025274
NCT04357730,1310149
NCT04327206,4313306
NCT04383548,703439
NCT04344730,4148981
NCT04344730,19025274
NCT04344730,173817
NCT04344730,32765
NCT04344730,1777087
NCT04320056,19025274
NCT04343976,4124758
NCT04363866,1792515
NCT04363866,1777087
NCT04363866,4138659
NCT04363866,4273629
NCT04363866,4029802
NCT04363866,1551099
NCT04401423,19025274
NCT04405570,4241216
