covidtrialID,observationOMOPID
NCT04360876,45878027
NCT04333914,45884367
NCT04394182,3050013
NCT04394182,4242424
NCT04380688,4035815
NCT04252885,35921199
NCT04346199,4035815
NCT04425538,45879403
NCT04338906,4035815
NCT04318444,4053939
NCT04390503,4274663
NCT04315298,4048295
NCT04366050,4035815
NCT04375046,4048295
NCT04375046,45879403
NCT04375046,4035815
NCT04407208,4242424
NCT04403685,4014023
NCT04348435,4306655
NCT04359680,45884068
NCT04286503,4048295
NCT04360486,45878027
NCT04363853,4088275
NCT04440007,4035815
NCT04292730,4242424
NCT04292730,4035815
NCT04437875,4203148
NCT04324489,3002644
NCT04409483,4035815
NCT04356508,45879403
NCT04352465,4306655
NCT04417257,4298794
NCT04417257,4274663
NCT04417257,4247398
NCT04349371,4226382
NCT04401579,4035815
NCT04402957,4035815
NCT04333225,46237515
NCT04354441,4075635
NCT04400019,4242424
NCT04383002,45878027
NCT04345692,4035815
NCT04425837,4073753
NCT04383535,4088275
NCT04368377,45878027
NCT04428801,4271678
NCT04516915,40769164
NCT04492358,3050013
NCT04494776,4271678
NCT04532931,45878027
NCT04524507,45878027
NCT04517630,4306655
NCT04517162,4035815
NCT04546841,4088275
NCT04546841,40973
NCT04512079,4242424
NCT04502472,40973
NCT04502472,45879403
NCT04540029,4478995
NCT04500366,4046033
NCT04548908,407634
NCT04529421,4277918
NCT04519437,45879403
NCT04526405,4229765
NCT04526821,4072765
NCT04559074,45879403
NCT04545060,4035815
NCT04511819,4035815
NCT04540120,4035815
NCT04527562,4329584
NCT04542200,407634
NCT04523571,2149843
NCT04542226,4035815
NCT04536051,40973
NCT04542915,407634
NCT04491318,4044711
NCT04531254,4144287
NCT04531254,4277918
NCT04537338,40769164
NCT04539262,4035815
NCT04497779,4047705
NCT04506268,4144287
NCT04537949,435372
NCT04537949,2149843
NCT04498442,4144287
NCT04516564,4059015
NCT04547140,4035815
NCT04535674,45878027
NCT04513158,4005823
NCT04536935,4086921
NCT04536935,440925
NCT04536935,4251171
NCT04533347,45878027
NCT04558749,4478995
NCT04530617,4191643
NCT04534712,4151893
NCT04549350,4329589
NCT04545047,45878027
NCT03871491,4338692
NCT04530370,4035815
NCT04530370,40769164
NCT04535297,4046033
NCT04498247,3050122
NCT04498247,43021229
NCT04498247,40769164
NCT04498247,46270517
NCT04498247,4102123
NCT04498247,4203148
NCT04498247,4274663
NCT04498247,4274663
NCT04498247,4293435
NCT04526990,40973
NCT04531774,45884068
NCT04516941,4241216
NCT04516941,45878027
NCT04538469,4306655
NCT04510662,40479411
NCT04555122,4168648
NCT04497636,415545
NCT04497636,4073752
NCT04395430,437525
NCT04497402,45878027
NCT04540484,4188165
NCT04519424,4048295
NCT04519424,4035815
NCT03474965,4242424
NCT04558996,40769164
NCT04552379,4053939
NCT04526717,4035815
NCT04533048,4219336
NCT04533048,4203148
NCT04533048,42575912
NCT04497623,37020843
NCT04551768,45878027
NCT04551768,4035815
NCT04532372,4035815
NCT04508439,4046033
NCT04537299,4035815
NCT04148430,4035815
NCT04497441,4330417
NCT04530500,45878027
NCT04527432,407634
NCT04498325,4035815
NCT04536090,4247398
NCT04510493,437525
NCT04530604,4242424
NCT04516746,45879403
NCT04550325,45878027
NCT04524663,45879403
NCT04537806,4048295
NCT04510025,4035815
NCT04511429,35921199
NCT04490174,4043522
NCT04540406,4035815
NCT04516837,4023221
NCT04501952,4242424
NCT04501952,4035815
NCT04537663,4587713
NCT04549922,3050013
NCT04511923,40769164
NCT04550312,4306655
NCT04490486,4203148
NCT04490486,4048295
NCT04558021,46237515
NCT04494204,4035815
NCT04492527,45879403
NCT04522492,4219336
NCT04528888,4048295
NCT04516954,4130406
NCT04517136,4072755
NCT04514627,4035815
NCT04507867,437525
NCT04555148,4298794
NCT04527601,4478995
NCT04556565,45878027
NCT04540393,45879403
NCT04540185,2149843
NCT04540185,45879403
NCT04495933,4225437
NCT04495933,45879403
NCT04495933,4274663
NCT04495933,4295261
NCT03944447,4242424
NCT04501432,4082261
NCT04559035,4247398
NCT04533399,45879403
NCT04537585,4041508
NCT04516811,45878027
NCT04516811,4035815
NCT04554433,4203148
NCT04514900,42575912
NCT04514900,4036937
NCT04529499,4035815
NCT04529499,4088275
NCT04497818,4330417
NCT04494386,40769164
NCT04524598,4242424
NCT04524598,4168648
NCT04511949,45761801
NCT04511949,4144287
NCT04542434,4162369
NCT04492475,4035815
NCT04498377,4035815
NCT04527224,4035815
NCT04535700,40479411
NCT04509947,4295261
NCT04509947,40769164
NCT04509947,4033543
NCT04557046,4242424
NCT04495101,4035815
NCT04511650,4048295
NCT04511650,4035815
NCT04534725,4175554
NCT04534725,4053939
NCT04534725,4035815
