covidtrialID,locationID
NCT04329559,loc_10
NCT04486482,loc_0
NCT04530474,loc_0
NCT04318301,loc_10
NCT04357535,loc_26
NCT04436471,loc_7
NCT04377815,loc_5
NCT04420182,loc_6
NCT04412538,loc_10
NCT04374084,loc_10
NCT04426344,loc_0
NCT04375761,loc_0
NCT04410107,loc_4
NCT04435808,loc_0
NCT04273646,loc_10
NCT04459286,loc_42
NCT04414124,loc_0
NCT04370821,loc_0
NCT04470609,loc_10
NCT04513158,loc_0
NCT04383574,loc_10
NCT04352608,loc_10
NCT04338074,loc_0
NCT04337359,loc_43
NCT04337359,loc_3
NCT04355871,loc_2
NCT04332107,loc_0
NCT04344457,loc_0
NCT04346017,loc_12
NCT04345991,loc_1
NCT04356534,loc_67
NCT04444596,loc_24
NCT04438239,loc_3
NCT04343742,loc_23
NCT04345536,loc_33
NCT04342182,loc_13
NCT04347174,loc_17
NCT04409522,loc_40
NCT04508972,loc_6
NCT04360980,loc_40
NCT04511650,loc_0
NCT04468256,loc_5
NCT04336774,loc_0
NCT04393246,loc_5
NCT04420741,loc_11
NCT04382794,loc_3
NCT04427345,loc_3
NCT04365816,loc_1
NCT04437706,loc_0
NCT04403828,loc_14
NCT04443881,loc_2
NCT04363060,loc_1
NCT04545047,loc_0
NCT04365127,loc_0
NCT04328493,loc_57
NCT04371432,loc_0
NCT04392245,loc_3
NCT04447131,loc_4
NCT04504240,loc_45
NCT04372017,loc_0
NCT04413955,loc_0
NCT04368884,loc_17
NCT04469179,loc_0
NCT04363203,loc_0
NCT04343781,loc_1
NCT04252664,loc_10
NCT04349241,loc_14
NCT04371510,loc_1
NCT04367402,loc_3
NCT04492904,loc_37
NCT04378777,loc_0
NCT04545060,loc_0
NCT04424446,loc_0
NCT04478019,loc_0
NCT04535674,loc_7
NCT04535674,loc_2
NCT04423003,loc_8
NCT04341389,loc_10
NCT04380532,loc_6
NCT04380532,loc_93
NCT04426253,loc_36
NCT03891420,loc_4
NCT04383444,loc_0
NCT04460170,loc_13
NCT04486001,loc_0
NCT04412668,loc_0
NCT04470583,loc_5
NCT04444531,loc_2
NCT04537949,loc_8
NCT04346628,loc_0
NCT04470531,loc_45
NCT04394208,loc_14
NCT04333472,loc_28
NCT04384250,loc_14
NCT04358068,loc_0
NCT04374513,loc_14
NCT04437875,loc_7
NCT04351152,loc_0
NCT04471051,loc_0
NCT04477655,loc_15
NCT04548908,loc_1
NCT04497987,loc_0
NCT04330521,loc_0
NCT04366180,loc_2
NCT04364802,loc_0
NCT04283461,loc_0
NCT04389944,loc_19
NCT04530422,loc_14
NCT04471766,loc_77
NCT04411433,loc_18
NCT04490837,loc_2
NCT04487886,loc_0
