covidtrialID,drugOMOPID
NCT04400682,723521
NCT04400682,36444848
NCT04400682,1367571
NCT04400682,42539385
NCT04400682,1134439
NCT04400682,4103594
NCT04400682,43533099
NCT04400682,36203427
NCT04400682,4126329
NCT04433988,1331247
NCT04433988,358034
NCT04485351,4256491
NCT04478019,1790812
NCT04478019,1750087
NCT04383717,4082398
NCT04467086,44092
NCT04467086,1321341
NCT04467086,1343916
NCT04467086,1135766
NCT04467086,1353766
NCT04479358,1343916
NCT04479358,1343916
NCT04479358,40171288
NCT04479358,45883741
NCT04479358,4332015
NCT04479358,3199927
NCT04479358,44507848
NCT04479358,4126018
NCT04479358,42904205
NCT04479358,1510627
NCT04479358,40244464
NCT04479358,4029802
NCT04479358,3186744
NCT04479358,1186087
NCT04479358,1119119
NCT04479358,1312706
NCT04479358,42629079
NCT04479358,40236987
NCT04479358,45892531
NCT04479358,40241969
NCT04479358,912263
NCT04479358,35605744
NCT04479358,1594034
NCT04479358,19080458
NCT04479358,35604032
NCT04479358,1151789
NCT04479358,42799711
NCT04479358,19041065
NCT04479358,937368
NCT04479358,794068
NCT04479358,40238188
NCT04479358,35603563
NCT04479358,45892628
NCT04479358,44507676
NCT04479358,1593457
NCT04479358,40167582
NCT04479358,45775965
NCT04479358,1396729
NCT04479358,1314273
NCT04479358,1594587
NCT04479358,45892883
NCT04479358,40161532
NCT04479358,1501761
NCT04479358,3580721
NCT04479358,3580369
NCT04479358,1125315
NCT04479358,117748
NCT04479358,1112807
NCT04479358,4039581
NCT04479358,1125315
NCT04356144,19008106
NCT04356144,36674433
NCT04356144,44507865
NCT04356144,42801108
NCT04476979,40171288
NCT04434144,1784444
NCT04434144,1777087
NCT04476680,40768833
NCT04476680,42869786
NCT04476680,19087317
NCT04476680,4288455
NCT04476680,4295112
NCT04476680,42536012
NCT04476680,35807312
NCT04476680,4242843
NCT04476680,4024511
NCT04480398,3580636
NCT04480398,35625641
NCT04473053,429709
NCT04473053,4236208
NCT04473053,19087208
NCT04473053,36243229
NCT04473274,4047983
NCT04473274,4306333
NCT04473274,1558242
NCT04473274,1763204
NCT04480333,429709
NCT04480333,4008249
NCT04480333,413266
NCT04483830,44802811
NCT04483830,358034
NCT04473131,4021606
NCT04473131,35917384
NCT04473131,4208788
NCT04473131,21601607
NCT04475107,429709
NCT04475107,43009026
NCT04475107,44378
NCT04475107,4242843
NCT04483960,19025274
NCT04483960,35625639
NCT04483960,1777087
NCT04483960,43273522
NCT04483960,40218804
NCT04483960,501343
NCT04483960,722871
NCT04483960,413266
NCT04483960,413266
NCT04481685,4016036
NCT04481685,3580636
NCT04481685,4242843
NCT04481685,36310369
NCT04481685,4253598
NCT04481685,45768802
NCT04481685,35807409
NCT04481685,4253603
NCT04481685,1792515
NCT04481685,4273629
NCT04481685,4295112
NCT04481685,35807195
NCT04481685,764171
NCT04481685,4116247
NCT04487574,43573
NCT04487574,4216752
NCT04487574,950183
NCT04487574,37018292
NCT04487574,4186908
NCT04487574,35625639
NCT04487574,35807403
NCT04487574,40171288
NCT04487574,4034723
NCT04487574,35941093
NCT04487574,36309181
NCT04486144,21600276
NCT04487886,35807195
NCT04487886,4242843
NCT04480424,4077953
NCT04480424,4103791
NCT04480424,41929683
NCT04480424,19006871
NCT04480424,2000019
NCT04480424,15636
NCT04480424,429709
NCT04480424,44507865
NCT04480424,19071968
NCT04480424,36308052
NCT04480424,4008249
NCT04475991,4166414
NCT04475991,3671329
NCT04475991,1787101
NCT04475991,32765
NCT04475081,416964
NCT04475081,4148055
NCT04475081,4314777
NCT04475081,4296954
NCT04475081,44790893
NCT04475081,44135578
NCT04475081,44788997
NCT04487444,35807403
NCT04487444,36231296
NCT04487444,35807195
NCT04482699,37311061
NCT04482699,1777087
