covidtrialID,conditionOMOPID
NCT04452435,198572
NCT04452435,4203148
NCT04452435,45877392
NCT04452435,44783749
NCT04452435,43225
NCT04452435,4112341
NCT04435015,37311061
NCT04435015,35807484
NCT04435015,321042
NCT04435015,436222
NCT04435015,4306572
NCT04435015,4095285
NCT04335747,440023
NCT04335747,41972679
NCT04335747,37311061
NCT04335747,36308878
NCT04346186,4330435
NCT04364828,37311061
NCT04364828,756039
NCT04364828,37311061
NCT04452643,703439
NCT04452643,37311061
NCT04355884,37311061
NCT04355884,320651
NCT04355884,44783749
NCT04344002,37311061
NCT04344002,258369
NCT04344002,756039
NCT04384887,4299535
NCT04339322,37311061
NCT04417673,22281
NCT04417673,22281
NCT04393961,43225
NCT04393961,37311061
NCT04335773,37311061
NCT04324047,40218805
NCT04324047,4137286
NCT04324047,437663
NCT04324047,254761
NCT04324047,100357
NCT04324047,312437
NCT04324047,4106628
NCT04324047,46235351
NCT04324047,761083
NCT04324047,45881078
NCT04324047,4102739
NCT04324047,706513
NCT04324047,433736
NCT04324047,45879799
NCT04324047,46271022
NCT04324047,36716893
NCT04324047,22281
NCT04324047,4182582
NCT04324047,4299535
NCT04324047,706376
NCT04385823,37311061
NCT04385823,37310285
NCT04385823,46271075
NCT04385004,37311061
NCT04412551,37311061
NCT04347278,4299535
NCT04347278,37311061
NCT04347278,37311061
NCT04347278,37311061
NCT04347278,4170143
NCT04347278,703439
NCT04468971,703439
NCT04468971,4155158
NCT04448743,37311061
NCT04448743,703439
NCT04448743,42071481
NCT04448743,45881078
NCT04448743,316866
NCT04448743,4159131
NCT04448743,20182
NCT04448743,433736
NCT04448743,36308878
NCT04453371,4209097
NCT04453371,37311061
NCT04320511,703439
NCT04320511,1177254
NCT04406181,37311061
NCT04403386,4179955
NCT04403386,432585
NCT04403386,4222303
NCT04339998,37311061
NCT04339998,37311061
NCT04347993,37311061
NCT04347993,4300606
NCT04347993,40768856
NCT04401540,37311061
NCT04401540,756039
NCT04414293,37311061
NCT04414293,3707456
NCT04414293,319049
NCT04414293,441541
NCT04373005,1177186
NCT04373005,4309345
NCT04373005,43225
NCT04459962,4271761
NCT04459962,37311061
NCT04404179,37311061
NCT04358588,703439
NCT04358588,255848
NCT04358588,40757139
NCT04358588,4299535
NCT04285801,43225
NCT04463264,703439
NCT04463264,37311061
NCT04463264,1138799
NCT04457726,703439
NCT04457726,1177324
NCT04457726,312437
NCT04457726,260936
NCT04457726,4256228
NCT04457726,196236
NCT04457726,196236
NCT04457726,4212484
NCT04457726,1177254
