covidtrialID,measurementOMOPID
NCT04429763,4119813
NCT04429763,44808684
NCT04439071,3198682
NCT04439071,4230543
NCT04439071,4254663
NCT04439071,45889912
NCT04439071,4480642
NCT04439071,43012761
NCT04365257,409491
NCT04365257,4181663
NCT04425252,409491
NCT04425252,4039428
NCT04425252,45889912
NCT04425252,4148615
NCT04425252,2212296
NCT04425252,4189605
NCT04425252,414638
NCT04425252,4230543
NCT04425252,4152194
NCT04425252,415479
NCT04425252,4096101
NCT04425252,4239408
NCT04425252,4233883
NCT04381923,4296538
NCT04352608,4239666
NCT04352608,4122259
NCT04352608,4245997
NCT04352608,440846
NCT04352608,4012972
NCT04352608,37016333
NCT04352608,3025085
NCT04364815,913916
NCT04364815,37111521
NCT04364815,4245997
NCT04364815,409491
NCT04364815,8568
NCT04364815,45889912
NCT04364815,4316372
NCT04364815,4267147
NCT04364815,414638
NCT04299152,4189605
NCT04299152,414638
NCT04299152,45890528
NCT04299152,4230543
NCT04299152,2212227
NCT04299152,4078242
NCT04299152,4042412
NCT04299152,45889912
NCT04299152,4039428
NCT04363450,4213477
NCT04363450,46271813
NCT04380532,4245997
NCT04407689,414638
NCT04407689,4189605
NCT04407689,4215562
NCT04407689,4012972
NCT04407689,4148615
NCT04407689,4039428
NCT04407689,40483383
NCT04359615,4008859
NCT04359615,4035061
NCT04359615,4172077
NCT04334512,40484652
NCT04358614,42536097
NCT04409886,35936749
NCT04363034,409491
NCT04411628,4310328
NCT04411628,4096101
NCT04359316,4189605
NCT04359316,414638
NCT04359316,45890528
NCT04359316,2212296
NCT04359316,45766326
NCT04359316,37016292
NCT04359316,4262845
NCT04341870,4148615
NCT04341870,4244232
NCT04341870,4039428
NCT04341870,4010408
NCT04341870,414638
NCT04373291,4078242
NCT04353271,37111521
NCT04353271,1002134
NCT04348500,4041169
NCT04348500,4013251
NCT04348500,2212643
NCT04348500,4267147
NCT04348500,414638
NCT04442178,414638
NCT04442178,4189605
NCT04442178,4215562
NCT04442178,8568
NCT04353128,37111521
NCT04341389,15636
NCT04360096,415479
NCT04360096,4009409
NCT04358549,4078242
NCT04358549,4080169
NCT04358549,4213477
NCT04421391,35936749
NCT04421391,37392316
NCT04421391,4230543
NCT04338074,1303425
NCT04345289,409491
NCT04345289,4336683
NCT04345289,37016292
NCT04345289,434557
NCT04345289,4012972
NCT04345289,4148615
NCT04345289,4041531
NCT04345289,4267147
NCT04345289,42739976
NCT04397562,414638
NCT04397562,4189605
NCT04397562,4039428
NCT04397562,4148615
NCT04397562,45882227
NCT04406389,4039428
NCT04406389,4124949
NCT04389671,4292196
NCT04389671,2212296
NCT04389671,4323433
NCT04389671,4326744
NCT04389671,4148615
NCT04356677,4326744
NCT04356677,45889912
NCT04356677,4030871
NCT04356677,4013886
NCT04434248,4310328
NCT04434248,4096101
NCT04434248,3027946
NCT04434248,4152194
NCT04434248,415479
NCT04434248,4213477
NCT04434248,4211515
NCT04434248,414638
NCT04434248,4094657
NCT04434248,4189605
NCT04339712,434557
NCT04339712,4078242
NCT04339712,4055285
NCT04328467,37111521
NCT04348370,4078242
NCT04354428,4313591
NCT04354428,4169076
NCT04402879,4296538
NCT04402879,4152194
NCT04402879,4329601
NCT04393311,4326594
NCT04393311,4192056
NCT04382755,37111521
NCT04382755,4148615
NCT04382755,4015824
NCT04382755,3198682
NCT04382755,4121879
NCT04382755,4094448
NCT04409509,4306239
NCT04409509,1778262
NCT04392973,37016292
NCT04392973,4189605
NCT04401410,4300535
NCT04401410,4253759
NCT04401410,4211515
NCT04401410,4094657
NCT04401410,2149109
NCT04355897,4336683
NCT04355897,438878
NCT04355897,4314777
NCT04321369,4189605
NCT04321369,414638
NCT04321369,45890528
NCT04321369,2212296
NCT04321369,45766326
NCT04321369,37016292
NCT04321369,4262845
NCT04338347,37061515
NCT04338347,2212296
NCT04338347,438878
NCT04356443,4096101
NCT04446065,403485
NCT04446065,40761511
NCT04409184,40218805
NCT04287686,4203722
NCT04287686,41907589
NCT04287686,4099154
NCT04270383,4259929
NCT04453527,4148981
NCT04453527,45882878
NCT04449588,4223299
NCT04449588,37016292
NCT04449588,4213477
NCT04443868,44782659
NCT04443868,37311061
NCT04389554,4322628
NCT04439045,3200792
NCT04469621,36716965
NCT04469621,434557
NCT04363593,4161294
NCT04363593,4588918
NCT04363593,4161294
NCT04374084,40481601
NCT04374084,4152194
NCT04374084,415479
NCT04374084,4245997
NCT04302688,4239666
NCT04400929,4353936
NCT04400929,4094448
NCT04400929,4298431
NCT04400929,4015824
NCT04400929,37397915
NCT04413968,4013829
NCT04468139,409491
NCT04438993,4108582
NCT04435379,4078242
NCT04435379,40218805
NCT04457609,4250175
NCT04371510,4298393
NCT04371510,4296538
NCT04334850,4081164
NCT04323761,4480642
NCT04323761,4336683
NCT04323761,45766326
NCT04347512,4213477
NCT04347512,4216826
NCT04449380,37394375
NCT04362150,45889912
NCT04381351,4336683
NCT04427332,703439
NCT04435457,4099154
NCT04435457,4336683
NCT04459637,4169265
NCT04459637,403485
NCT04459637,4124668
NCT04406545,4120014
NCT04357418,4080894
NCT04356950,42801108
NCT04374422,3704007
NCT04347928,415479
NCT04338009,4152194
NCT04338009,415479
NCT04338009,4323433
NCT04338009,44803512
NCT04338009,19049024
NCT04338009,4336683
NCT04344587,4150345
NCT04344587,4274816
NCT04344587,9177
NCT04467840,4310328
NCT04467840,40664854
